"Country","Continent","Date","GDP","GNI","Live births number","Live births rate","Deaths number","Death rate","Rate of increase","Infant deaths number","Infant deaths rate (per 1000 births)","Life expectancy at birth male","Life expectancy at birth female","Total fertility rate"
"Cuba","North_America","2007"," "," ","112472","10","81927","7.3","2.7","592","5.3","76","80","1.43"
"United States","North_America","2008","14991300","48820","4247694","14","2471984","8.1","5.8","28059","6.6","75.6","80.6","2.09"
"Slovenia ","Europe","2010","49539","26510","22343","10.9","18609","9.1","1.8","56","2.5","76.3","82.7","1.57"
"Denmark","Europe","2010","333616","41900","63411","11.4","54368","9.8","1.6","216","3.4","77.1","81.2","1.88"
"Romania ","Europe","2010","179794","15120","212199","9.9","259723","12.1","-2.2","2078","9.8","69.8","77.3","1.33"
"Myanmar","Asia","2009"," "," ","948106"," ","325343"," "," ","25782"," ","65.5","70.7","2.04"
"Fiji ","Oceania","2007","3818","4610","19298","23.1"," "," "," "," "," ","65.3","69.6"," "
"Bolivia (Plurinational State of) ","South_America","2011","23949","4890"," "," "," "," "," "," "," ","64.6","68.9","3.21"
"Malawi","Africa","2007","5621","870","626181"," ","206527"," "," "," "," ","45.7","48.3"," "
"Jordan ","Asia","2007","28840","5930","185011","32.3","20924"," "," "," "," ","71.6","74.4","3.6"
"China, Hong Kong SAR ","Asia","2009","248612","8390","82095","11.7","41175","5.9","5.8","136","1.7","79.7","85.9","1.04"
"Qatar","Asia","2010","172982","86440","19504","11.4","1970","1.1","10.2","132","6.8","78","78.8","2.08"
"Australia ","Oceania","2010","1379382","38110","297903","13.4","143473","6.4","6.9","1229","4.1","79.5","84","1.89"
"Bulgaria ","Europe","2010","53514","14160","75513","10","110165","14.6","-4.6","708","9.4","70","77.2","1.49"
"Dominican Republic ","North_America","2010","55611","9420","121159"," ","34157"," "," ","480"," ","69.2","75.5","2.56"
"Martinique","North_America","2007"," "," ","5317","13.4","2830","7.1","6.3","47","8.8","76.5","82.9",""
"Algeria ","Africa","2010","188681","8310","887810","24.7","157000"," "," "," "," ","75.6","77"," "
"Oman","Asia","2008","71782","25720","58280"," ","7298"," "," ","534"," ","72.2","75.7","2.61"
"Republic of Moldova ","Europe","2010","7000","86440","40474","11.4","43631","12.2","-0.9","476","11.8","65","73.4","1.31"
