"Country","Continent","Date","GDP","GNI","Live births number","Live births rate","Deaths number","Death rate","Rate of increase","Infant deaths number","Infant deaths rate (per 1000 births)","Life expectancy at birth male","Life expectancy at birth female","Total fertility rate"
"Sweden ","Europe","2010","539682","42200","115641","12.3","90487","9.6","2.7","294","2.5","79.5","83.5","1.99"
"Canada","North_America","2008","1736051","39660","377886","11.3","238617","7.2","4.2","1911","5.1","78.5","83.2","1.68"
"Israel ","Asia","2010","242929","27110","166255","21.8","39624","5.2","16.6","616","3.7","79.7","83.6","3.03"
"Tunisia ","Africa","2007","45864","9030","177503","17.4","56741"," "," "," "," ","72.3","76.2","2.04"
"Italy ","Europe","2008","2193971","32400","576659","9.6","578192","9.7","0","1997","3.5","78.8","84.1","1.41"
"Poland ","Europe","2010","514496","20430","413300","10.8","378478","9.9","0.9","2057","5","72.1","80.6","1.38"
"United Kingdom of Great Britain and Northern Ireland ","Europe","2008","2445408","36010","794383","12.9","579697","9.4","3.5","3745","4.7","77.5","81.7","1.96"
"Armenia ","Asia","2007","10248","6100","40105","12.4","26830","8.3","4.1","433","10.8","70.2","76.6","1.42"
"Austria ","Europe","2010","417656","42050","78742","9.4","77199","9.2","0.2","307","3.9","77.7","83.2","1.44"
"China, Hong Kong SAR ","Asia","2009","248612","8390","82095","11.7","41175","5.9","5.8","136","1.7","79.7","85.9","1.04"
"Pakistan","Asia","2007","210216","2870","3830973","24","1019533","6.4","17.6","288192","75.2","63.6","67.6","3.7"
"French Guiana","South_America","2007","2577","35910","6386","30","690","3.2","26.7","77","12.1","75.1","80.8",""
"Venezuela (Bolivarian Republic of) ","South_America","2007","316482","4330","615371","22.4","118594","4.3","18.1","6340","10.3","70.7","76.6","2.58"
"Singapore ","Asia","2010","239700","59380","37967","7.5","17610","3.5","4","100","2.6","79.3","84.1","1.15"
"Egypt ","Africa","2011","229531","8510","2442094","30.4","493096","6.1","24.2"," "," ","68.6","71.4"," "
"Dominican Republic ","North_America","2010","55611","9420","121159"," ","34157"," "," ","480"," ","69.2","75.5","2.56"
"Åland Islands","Europe","2009"," ","1140","267","9.7","247","9","0.7"," "," ","79.4","84.1","1.68"
"Myanmar","Asia","2009"," "," ","948106"," ","325343"," "," ","25782"," ","65.5","70.7","2.04"
"Greenland ","North_America","2010","1268"," ","869","15.4","504","8.9","6.5","6"," ","67.8","72.8","2.28"
"Mexico ","North_America","2008","1153343","15390","2243145"," ","538288","5"," ","29519"," ","72.8","77.5","2.1"
"Seychelles","Africa","2011","1007","25140","1625","18.6","691","7.9","10.7","16"," ","67.7","78.1","2.38"
"Cyprus","Asia","2007","24690","30970","8575","10.9","5391","6.9","4.1","32","3.7","78.3","81.9","1.39"
"Norway ","Europe","2010","485803","61460","61442","12.6","41499","8.5","4.1","171","2.8","78.9","83.2","1.95"
"Greece ","Europe","2009","289627","25100","117933","10.5","108316","9.6","0.9","371","3.1","77.7","82.8","1.52"
"Switzerland ","Europe","2010","659308","52570","80290","10.3","62649","8","2.3","307","3.8","79.9","84.4","1.54"
"Republic of Korea ","Asia","2010","1116247","86440","470171","9.4","255403","5.1","4.3","1506","3.2","77.2","84.1","1.23"
"Georgia","Asia","2009","14367","5350","63377","14.4","46625","10.6","3.8","945","14.9","69.9","78.7"," "
"Faeroe Islands ","Europe","2008","2198"," ","665","13.7","378","7.8","5.9"," "," ","76.8","82.3",""
"Bangladesh","Asia","2010","111879","1940","2868494"," ","842095"," "," ","104591"," ","66.7","68.8","2.12"
"Nicaragua","North_America","2010","9317","3730"," "," "," "," "," "," "," ","63.4","68.9",""
"South Africa","Africa","2009","408237","10710","1000741"," ","572673"," "," "," "," ","53.5","57.2","2.38"
"Chile ","South_America","2010","248585","16330"," "," "," "," "," "," "," ","75.5","81.5",""
"Latvia ","Europe","2010","28252","17700","19219","8.6","30040","13.4","-4.8","110","5.7","68.8","78.4","1.18"
"Saint Helena ","Africa","2009"," ","1270","35","8.5","41","9.9","-1.5"," "," ","72.5","79.2"," "
"Mauritius ","Africa","2010","11260","14330","15005","11.7","9131","7.1","4.6","187","12.5","69.5","76.7","1.47"
"French Polynesia ","Oceania","2010"," "," ","4579","17.1","1261","4.7","12.4","25"," ","73.2","78.3",""
"Iceland ","Europe","2010","14026","31020","4907","15.4","2020","6.4","9.1","11"," ","79.5","83.5","2.2"
"Bolivia (Plurinational State of) ","South_America","2011","23949","4890"," "," "," "," "," "," "," ","64.6","68.9","3.21"
"Estonia ","Europe","2010","22155","20850","15825","11.8","15790","11.8","0","53","3.3","70.6","80.7","1.64"
"Costa Rica","North_America","2010","40870","11860","70922","15.5","19077","4.2","11.4","671","9.5","76.8","81.8","1.81"
"Malawi","Africa","2007","5621","870","626181"," ","206527"," "," "," "," ","45.7","48.3"," "
"New Zealand ","Oceania","2011","159706","28930","61403","13.9","30082","6.8","7.1","290","4.7","79.1","82.8","2.06"
"Dominica ","North_America","2008","484","13000","964","13.5","545","7.6","5.9"," "," ","73.8","78.2",""
"Portugal","Europe","2010","237374","24440","101381","9.5","105953","10","-0.4","255","2.5","76.1","82.1"," "
"Belarus ","Europe","2010","55132","14460","108050","11.4","137132","14.5","-3.1","429","4","64.6","76.5"," "
"Uruguay","South_America","2008","46710","14640","53199","16","31363","9.4","6.5","504","9.5","72.4","79.7","2.01"
"Germany ","Europe","2011","3600833","40230","662685","8.1","852328","10.4","-2.3","2408","3.6","77.7","82.7"," "
"New Caledonia","Oceania","2010"," "," ","4178","16.7","1191","4.8","11.9","19"," ","74.4","80.7",""
"Australia ","Oceania","2010","1379382","38110","297903","13.4","143473","6.4","6.9","1229","4.1","79.5","84","1.89"
"Brunei Darussalam ","Asia","2008","16360","49910","6424","16.1","1091","2.7","13.4","45","7","76.6","79.8","1.7"
