"Country","Continent","Date","GDP","GNI","Live births number","Live births rate","Deaths number","Death rate","Rate of increase","Infant deaths number","Infant deaths rate (per 1000 births)","Life expectancy at birth male","Life expectancy at birth female","Total fertility rate"
"Israel ","Asia","2010","242929","27110","166255","21.8","39624","5.2","16.6","616","3.7","79.7","83.6","3.03"
"Democratic People's Republic of Korea ","Asia","2008","1116247","24370","345630","14.4","216616","9","5.4","6686","19.3","65.6","72.7","2"
"Finland ","Europe","2009","263011","37670","60163","11.3","49636","9.3","2","158","2.6","76.5","83.1","1.86"
"Austria ","Europe","2010","417656","42050","78742","9.4","77199","9.2","0.2","307","3.9","77.7","83.2","1.44"
"Bermuda","North_America","2010","5765"," ","769","11.9","475","7.4","4.6"," "," ","76.9","82.3","1.76"
"Luxembourg","Europe","2007","59201","64260","5477","11.4","3866","8.1","3.4","10"," ","77.6","82.7","1.61"
"New Caledonia","Oceania","2010"," "," ","4178","16.7","1191","4.8","11.9","19"," ","74.4","80.7",""
"Belarus ","Europe","2010","55132","14460","108050","11.4","137132","14.5","-3.1","429","4","64.6","76.5"," "
"Tajikistan ","Asia","2009","6522","2300","199800"," ","32300"," "," "," "," ","70.5","75.3"," "
"Kyrgyzstan ","Asia","2010","5919","2180","146123","28.1","36174","7","21.2","3337","22.8","65.3","73.5","3.06"
"Seychelles","Africa","2011","1007","25140","1625","18.6","691","7.9","10.7","16"," ","67.7","78.1","2.38"
"Pakistan","Asia","2007","210216","2870","3830973","24","1019533","6.4","17.6","288192","75.2","63.6","67.6","3.7"
"Oman","Asia","2008","71782","25720","58280"," ","7298"," "," ","534"," ","72.2","75.7","2.61"
"Italy ","Europe","2008","2193971","32400","576659","9.6","578192","9.7","0","1997","3.5","78.8","84.1","1.41"
"Åland Islands","Europe","2009"," ","1140","267","9.7","247","9","0.7"," "," ","79.4","84.1","1.68"
"Cuba","North_America","2007"," "," ","112472","10","81927","7.3","2.7","592","5.3","76","80","1.43"
"Malawi","Africa","2007","5621","870","626181"," ","206527"," "," "," "," ","45.7","48.3"," "
"Russian Federation ","Europe","2009","1857770","20560","1761687","12.4","2010543","14.2","-1.8","14271","8.1","62.8","74.7","1.54"
"Mongolia ","Asia","2010","8761","4290","63270","22.9","18293","6.6","16.3","1275","20.2","64.9","72.3","2.39"
"New Zealand ","Oceania","2011","159706","28930","61403","13.9","30082","6.8","7.1","290","4.7","79.1","82.8","2.06"
"Chile ","South_America","2010","248585","16330"," "," "," "," "," "," "," ","75.5","81.5",""
